SURFACE;PLAYER;W;L;Ace_Pct;Df_Pct;1st_Serve_Pct;1st_Serve_Won_Pct;2nd_Serve_Won_Pct;Break_Pt_Saved_Pct;Break_Pt_Won_Pct;1st_Serve_Return_Won_Pct;2nd_Serve_Return_Won_Pct;bp_oppy;Games_Played;Rank;Points
Hard;Malek Jaziri;143;112;0.059;0.038;0.529;0.724;0.551;0.613;0.393;0.283;0.562;1747;255;45;1014
Carpet;Matthew Ebden;3;2;0.079;0.039;0.682;0.764;0.667;0.727;0.303;0.262;0.581;33;5;46;1001
Grass;Matthew Ebden;38;18;0.08;0.055;0.654;0.758;0.619;0.591;0.406;0.307;0.59;404;56;46;1001
Clay;Matthew Ebden;4;9;0.087;0.057;0.63;0.697;0.478;0.5;0.375;0.27;0.462;56;13;46;1001
Hard;Matthew Ebden;92;84;0.076;0.062;0.603;0.715;0.563;0.586;0.435;0.307;0.559;1119;176;46;1001
Grass;Damir Dzumhur;7;6;0.034;0.041;0.652;0.662;0.582;0.595;0.46;0.276;0.581;100;13;47;985
Clay;Damir Dzumhur;95;58;0.029;0.023;0.669;0.651;0.558;0.585;0.455;0.383;0.569;1271;153;47;985
Hard;Damir Dzumhur;85;75;0.036;0.041;0.627;0.664;0.553;0.57;0.444;0.316;0.575;1235;160;47;985
Grass;Dusan Lajovic;4;11;0.06;0.023;0.673;0.681;0.584;0.641;0.308;0.205;0.469;78;15;48;985
Clay;Dusan Lajovic;94;71;0.049;0.02;0.649;0.697;0.575;0.64;0.388;0.31;0.545;1187;165;48;985
Hard;Dusan Lajovic;63;63;0.052;0.024;0.661;0.686;0.568;0.598;0.427;0.27;0.547;762;126;48;985
Grass;Taylor Fritz;9;15;0.099;0.027;0.601;0.756;0.509;0.611;0.381;0.254;0.505;139;24;49;974
Clay;Taylor Fritz;7;9;0.079;0.026;0.597;0.672;0.529;0.621;0.369;0.3;0.548;130;16;49;974
Hard;Taylor Fritz;116;67;0.11;0.035;0.576;0.755;0.56;0.662;0.386;0.281;0.591;1260;183;49;974
Grass;Robin Haase;15;15;0.1;0.026;0.623;0.734;0.557;0.653;0.343;0.249;0.511;181;30;50;965
Clay;Robin Haase;72;56;0.06;0.03;0.595;0.706;0.551;0.582;0.398;0.323;0.564;1012;128;50;965
Hard;Robin Haase;70;75;0.088;0.038;0.58;0.735;0.542;0.592;0.411;0.278;0.548;988;145;50;965
Grass;Sam Querrey;31;16;0.192;0.031;0.623;0.819;0.59;0.713;0.359;0.259;0.498;298;47;51;955
Clay;Sam Querrey;25;22;0.143;0.037;0.579;0.788;0.538;0.618;0.376;0.276;0.507;290;47;51;955
Hard;Sam Querrey;98;75;0.168;0.045;0.579;0.8;0.577;0.628;0.386;0.273;0.526;1056;173;51;955
Grass;Benoit Paire;12;13;0.115;0.054;0.566;0.748;0.555;0.673;0.491;0.301;0.516;165;25;52;935
Clay;Benoit Paire;47;47;0.072;0.051;0.51;0.713;0.517;0.583;0.437;0.349;0.561;737;94;52;935
Hard;Benoit Paire;105;81;0.119;0.057;0.516;0.767;0.525;0.607;0.39;0.313;0.541;1373;186;52;935
Grass;Mikhail Kukushkin;9;12;0.049;0.014;0.64;0.681;0.531;0.703;0.41;0.301;0.545;161;21;53;935
Clay;Mikhail Kukushkin;38;42;0.021;0.017;0.653;0.644;0.542;0.607;0.45;0.308;0.573;573;80;53;935
Hard;Mikhail Kukushkin;103;82;0.045;0.02;0.601;0.689;0.561;0.624;0.407;0.275;0.596;1298;185;53;935
Grass;Matteo Berrettini;4;4;0.11;0.021;0.595;0.768;0.52;0.623;0.42;0.265;0.532;50;8;54;932
Clay;Matteo Berrettini;27;19;0.067;0.024;0.623;0.743;0.592;0.647;0.363;0.301;0.517;281;46;54;932
Hard;Matteo Berrettini;56;34;0.114;0.024;0.613;0.765;0.578;0.658;0.358;0.286;0.531;572;90;54;932
Grass;Pierre Hugues Herbert;12;12;0.108;0.066;0.589;0.74;0.603;0.607;0.346;0.268;0.505;156;24;55;903
Clay;Pierre Hugues Herbert;20;26;0.091;0.039;0.563;0.746;0.585;0.638;0.357;0.288;0.487;300;46;55;903
Hard;Pierre Hugues Herbert;111;71;0.135;0.053;0.571;0.784;0.598;0.654;0.361;0.268;0.531;1031;182;55;903
Grass;Leonardo Mayer;9;7;0.09;0.031;0.64;0.77;0.596;0.743;0.303;0.227;0.509;99;16;56;895
Clay;Leonardo Mayer;85;57;0.068;0.044;0.623;0.732;0.604;0.637;0.361;0.294;0.554;1039;142;56;895
Hard;Leonardo Mayer;42;48;0.1;0.043;0.617;0.743;0.591;0.591;0.378;0.274;0.534;543;90;56;895
Grass;Jan Lennard Struff;5;15;0.125;0.051;0.571;0.793;0.558;0.653;0.274;0.236;0.483;113;20;57;875
Clay;Jan Lennard Struff;75;52;0.083;0.048;0.543;0.744;0.569;0.6;0.424;0.317;0.561;876;127;57;875
Hard;Jan Lennard Struff;100;78;0.107;0.048;0.563;0.769;0.573;0.619;0.4;0.271;0.556;1077;178;57;875
Grass;Guido Pella;4;6;0.093;0.02;0.658;0.71;0.584;0.675;0.265;0.205;0.55;68;10;58;860
Clay;Guido Pella;126;67;0.052;0.034;0.656;0.69;0.557;0.625;0.417;0.329;0.605;1641;193;58;860
Hard;Guido Pella;33;45;0.067;0.036;0.646;0.692;0.581;0.608;0.413;0.263;0.567;499;78;58;860
Grass;Peter Gojowczyk;13;11;0.107;0.044;0.566;0.752;0.548;0.639;0.385;0.258;0.542;130;24;59;855
Clay;Peter Gojowczyk;10;22;0.074;0.04;0.535;0.713;0.486;0.566;0.377;0.305;0.492;162;32;59;855
Hard;Peter Gojowczyk;110;74;0.104;0.042;0.542;0.769;0.565;0.594;0.402;0.301;0.568;1239;184;59;855
Carpet;Marius Copil;1;1;0.265;0.051;0.487;0.877;0.63;0.667;0.75;0.203;0.514;4;2;60;823
Grass;Marius Copil;20;13;0.143;0.034;0.617;0.764;0.616;0.675;0.328;0.263;0.491;177;33;60;823
Clay;Marius Copil;21;35;0.086;0.038;0.604;0.706;0.575;0.611;0.403;0.284;0.463;268;56;60;823
Hard;Marius Copil;115;76;0.152;0.038;0.581;0.787;0.589;0.656;0.379;0.277;0.526;1043;191;60;823
Grass;Tennys Sandgren;0;3;0.071;0.032;0.667;0.649;0.368;0.605;0.222;0.2;0.435;9;3;61;814
Clay;Tennys Sandgren;28;23;0.069;0.033;0.594;0.712;0.517;0.599;0.452;0.318;0.542;332;51;61;814
Hard;Tennys Sandgren;70;71;0.1;0.028;0.622;0.73;0.552;0.643;0.382;0.283;0.548;877;141;61;814
Carpet;Ryan Harrison;1;1;0.137;0.02;0.765;0.897;0.818;0;0.333;0.212;0.81;6;2;62;810
Grass;Ryan Harrison;8;17;0.105;0.04;0.607;0.724;0.557;0.589;0.353;0.252;0.519;139;25;62;810
Clay;Ryan Harrison;14;21;0.086;0.045;0.6;0.71;0.523;0.585;0.393;0.284;0.5;191;35;62;810
Hard;Ryan Harrison;114;83;0.094;0.04;0.597;0.729;0.581;0.64;0.409;0.296;0.55;1290;197;62;810
Carpet;Denis Kudla;1;1;0.029;0.02;0.647;0.682;0.5;0.167;0.4;0.256;0.722;10;2;63;810
Grass;Denis Kudla;30;19;0.094;0.042;0.594;0.754;0.585;0.659;0.426;0.296;0.592;364;49;63;810
Clay;Denis Kudla;22;24;0.055;0.039;0.598;0.666;0.564;0.617;0.372;0.314;0.552;323;46;63;810
Hard;Denis Kudla;129;90;0.067;0.046;0.586;0.701;0.57;0.604;0.444;0.304;0.613;1554;219;63;810
Grass;Feliciano Lopez;30;14;0.162;0.036;0.622;0.818;0.619;0.676;0.337;0.237;0.52;261;44;64;795
Clay;Feliciano Lopez;38;35;0.107;0.029;0.595;0.735;0.556;0.635;0.337;0.285;0.509;466;73;64;795
Hard;Feliciano Lopez;82;73;0.139;0.045;0.575;0.771;0.56;0.688;0.337;0.265;0.493;925;155;64;795
Grass;Albert Ramos;5;7;0.062;0.034;0.664;0.689;0.604;0.688;0.367;0.246;0.516;79;12;65;790
Clay;Albert Ramos;141;82;0.038;0.028;0.632;0.682;0.562;0.601;0.446;0.334;0.583;1745;223;65;790
Hard;Albert Ramos;42;62;0.058;0.036;0.605;0.697;0.566;0.615;0.364;0.26;0.531;649;104;65;790
Grass;Stan Wawrinka;15;11;0.136;0.028;0.598;0.792;0.597;0.636;0.335;0.252;0.522;170;26;66;785
Clay;Stan Wawrinka;43;18;0.068;0.024;0.576;0.738;0.601;0.648;0.39;0.307;0.543;513;61;66;785
Hard;Stan Wawrinka;120;51;0.09;0.031;0.57;0.754;0.592;0.663;0.391;0.282;0.537;1216;171;66;785
Grass;Aljaz Bedene;9;12;0.126;0.028;0.609;0.752;0.561;0.629;0.336;0.234;0.521;149;21;67;780
Clay;Aljaz Bedene;84;40;0.085;0.027;0.556;0.74;0.548;0.604;0.41;0.346;0.554;971;124;67;780
Hard;Aljaz Bedene;64;48;0.112;0.038;0.555;0.752;0.544;0.621;0.39;0.293;0.568;767;112;67;780
Carpet;Andrey Rublev;0;1;0.125;0.068;0.591;0.654;0.6;0.625;0.2;0.222;0.541;10;1;68;760
Clay;Andrey Rublev;32;36;0.036;0.034;0.62;0.687;0.538;0.62;0.386;0.319;0.551;508;68;68;760
