Player Name;Weight
Lauri Kiiski;4
Laurynas Grigelis;3,5
Lawrence Bataljin;3,5
Lennert Van Der Linden;3
Lenny Hampel;3,5
Liam Broady;3,2
Liam Caruana;4
Liam Draxl;5,5
Liang Chi Huang;2,5
Linus Frost;4,5
Ljubomir Celebic;3,5
Lloyd Glasspool;3,5
Lloyd Harris;3
Logan Smith;3,5
Loic Perret;3
Lorenzo Frigerio;3,5
Lorenzo Giustino;3
Lorenzo Musetti;5
Lorenzo Sonego;2,333333333
Louis Tessa;3,5
Louis Wessels;3,5
Louk Sorensen;1
Luca Castelnuovo;4
Luca Giacomini;4
Luca Margaroli;3,5
Luca Pancaldi;2,5
Luca Vanni;4
Lucas Catarina;4
Lucas Gerch;3,6
Lucas Gomez;3,5
Lucas Miedler;3,5
Lucas Pouille;1
Lucas Renard;3,5
Lucas Vuradin;4,5
Luis David Martinez;3
Luis Faria;4
Luis Patino;3,5
Luis Valero;3
Lukas Klein;4
Lukas Mugevicius;3
Lukas Ollert;4,5
Lukas Rosol;5
Lukas Ruepke;3
Luke Bambridge;3
Luke Johnson;3,8
Luke Saville;3,5
Maciej Rajski;3,5
Maciej Smola;3,5
Mackenzie Mcdonald;2,5
Makoto Ochi;4
Manish Sureshkumar;4
Manuel Guinard;4
Manuel Pena Lopez;3,5
Manuel Sanchez;3
Mao Xin Gong;1
Marc Andrea Huesler;3,5
Marc Giner;3
Marc Polmans;3
Marc Sieber;3
Marcel Felder;4
Marcelo Arevalo;2
Marcelo Demoliner;1
Marcelo Zormann Da Silva;3
Marcin Gawron;3
Marco Bortolotti;3,5
Marco Cecchinato;2,5
Marco Chiudinelli;4
Marco Trungelliti;3
Marcos Giron;3
Marcus Daniell;1
Marcus Willis;3
Marek Gengel;4
Marek Jaloviec;3,5
Marek Michalicka;1,5
Marek Semjan;3,5
Mariano Kestelboim;3,5
Mario Vilella Martinez;3
Marius Copil;3
Mark Verryth;4
Mark Vervoort;1,5
Mark Whitehouse;3,5
Marko Djokovic;1
Marko Miladinovic;5
Marko Tepavac;3,5
Markos Kalovelonis;3,5
Markus Eriksson;3,5
Marsel Ilhan;3,8
Martin Alund;2
Martin Blasko;3
Martin Cuevas;3,5
Martin Fischer;1,5
Martin Joyce;4
Martin Redlicki;3,5
Martin Vaisse;1,5
Martins Podzus;3,5
Marvin Bernardo Becker Spiering;3,5
Marvin Moeller;4
Marvin Netuschil;3,5
Masamichi Imamura;5
Masato Shiga;2,5
Mate Delic;3
Mate Pavic;1,5
Mate Valkusz;4
Matej Sabanov;3,5
Matej Vocel;4
Mateo Nicolas Martinez;3,5
Mathias Bourgue;3,5
Mathieu Perchicot;3,5
Mathieu Rodrigues;2
Matias Franco Descotte;3,5
Matias Zukas;3,5
Matija Pecotic;3
Mats Moraing;2,5
Mats Rosenkranz;4
Matt Reid;2
Matt Seeberger;2,666666667
Matteo Berrettini;2,5
Matteo Donati;1,5
Matteo Marfia;2,5
Matteo Martineau;4
Matteo Trevisan;2,5
Matteo Viola;3,5
Matthew Barton;2,75
Matthew Christopher Romios;4,25
Matthew Dellavedova;4,5
Matthias Bachinger;4
Matwe Middelkoop;1,5
Mauricio Astorga;3,2
Mauricio Echazu;3,5
Maverick Banes;3,5
Max Jacob Schnur;1,5
Max Purcell;3,5
Maxim Dubarenco;2
Maxime Authom;2,5
Maxime Chazal;3,5
Maxime Cressy;4,5
Maxime Hamou;3,5
Maxime Janvier;3
Maxime Tabatruong;3
Maxime Tchoutakian;3,5
Maxime Teixeira;2
Maximilian Marterer;2
Maximilian Neuchrist;3,5
Maximiliano Estevez;3,5
Mehdi Jdi;2,5
Mert Naci Turker;4
Michael Geerts;3,5
Michael Lammer;1
Michael Linzer;2,5
Michael Look;3,5
Michael Mmoh;2,5
Michael Quintero;2
Michael Redlicki;5,5
Michael Shabaz;3,5
Michael Vrbensky;4,5
Michael Zhu;4,5
Michail Pervolarakis;3,5
Michal Dembek;3,5
Michal Konecny;3,5
Michal Przysiezny;4,5
Michel Vernier;3,5
Mick Lescure;3,5
Micke Kontinen;1,5
Mico Santiago;2,5
Miguel Angel Reyes Varela;1
Miguel Semmler;3,5
Mikael Torpegaard;3,5
Mikael Ymer;3
Mikalai Haliak;3,8
Mikelis Libietis;3
Mikhail Elgin;2
Mikhail Fufygin;3,5
Mikhail Ledovskikh;3
Mikhail Vaks;2
